depth	min	max	median	wmean
348	18621.6	19438.3	19083.4	19075.4
350	18689	19497.4	19145.9	19136.6
352	18864	19530.7	19196.7	19200.9
354	19014.4	19578.3	19251.9	19267.5
356	19101.4	19640.7	19315.6	19335.2
358	19155.8	19748	19382.4	19403.8
360	19189	19891.6	19445.1	19471.9
362	19235.4	19962.5	19511	19534.9
364	19263.7	20048	19573.5	19597.6
366	19284.3	20172.4	19633.1	19661.2
368	19310.1	20318.1	19686.5	19725
370	19326.4	20473	19741	19788.2
372	19379.3	20530.8	19806.5	19852.3
374	19417.3	20604	19872.5	19915.7
376	19443.1	20707.3	19934.1	19979.2
378	19465.3	20834.3	19994.7	20042.1
380	19490	20951.2	20055.8	20104.9
382	19549.2	21014.7	20122.3	20170.5
384	19595.7	21084.1	20191.7	20237.3
386	19634.5	21164.5	20261.6	20304.8
388	19666.1	21260.1	20327	20371.7
390	19697.7	21386.6	20391.2	20438
392	19767.2	21437.9	20463	20503.8
394	19815.7	21499.3	20534.3	20568.9
396	19861.1	21570.7	20601.1	20634.5
398	19895.1	21647.7	20671.9	20698.9
400	19922.2	21739.4	20735.9	20763.6
402	19985.4	21793.4	20801.3	20829.3
404	20042.8	21859.1	20864.9	20894.9
406	20091.5	21938.4	20933.2	20960.4
408	20139.1	22022.4	20995.5	21026
410	20168.8	22136.6	21060.3	21090.8
412	20240.4	22183.8	21123.4	21154.2
414	20298.6	22236.1	21190.8	21218.5
416	20350.4	22296.3	21256.8	21282.5
418	20397.3	22367.8	21323.3	21346.7
420	20426.2	22462.7	21385	21409.7
422	20510.9	22519.2	21452	21477.5
424	20577.7	22579.2	21525	21544.6
426	20635.5	22649.8	21598.4	21612.8
428	20681.5	22715.2	21668.4	21681.2
430	20728.4	22808.7	21730.9	21748.6
432	20807	22852.3	21799	21816.6
434	20868.3	22905.8	21864.6	21884.1
436	20925.6	22955	21933.8	21950.8
438	20979.6	23021.5	22003.4	22017.9
440	21030.1	23102.2	22070.2	22084.4
442	21116.1	23146.3	22142.2	22153.5
444	21196.5	23203.1	22212.8	22222.7
446	21257.4	23259.2	22289	22291.8
